over_number,commentary_data,timestamp
2.4," Khaleel Ahmed to Mayers, , back of a length around off, Mayers goes hard on the pull and swats it behind square. Races away to the boundary! ",1680358426293
3.4," Sakariya to Rahul, , pitched up around middle, right in the slot for Rahul who clears the front leg and lofts it down the ground. Manages to just about clear the long-on boundary. It's a shot that releases a bit of pressure after a slow start ",1680358717329
3.6,"Sakariya to Rahul,  Caught by Axar!! Sakariya continues his good record against Rahul! ! Slower length ball on leg, Rahul whips it in the air, doesn't get hold of it and it's straight to Axar Patel. Catching practice for him at deep backward square. ",1680358797905
5.3," Sakariya to Mayers, 1 run,  Can't get any simpler than that! Slower bouncer, Mayers looks for an upper-cut but it loops in the air off a thick top-edge. An absolute sitter if ever there was one. And Khaleel fails to hang on at short third ",1680359285711
6.2," Mukesh Kumar to Mayers, ,  Length ball around off, Mayers clears the front leg and whacks it over the long-on boundary. What a strike! ",1680359545203
6.5," Mukesh Kumar to Mayers, ,  Slower bouncer, he waits on it and bludgeons it over midwicket. Goes deep into the stands ",1680359658372
7.1," Axar to Mayers, , close to 100kph from round the wicket, back of a length delivery sliding across off, and Mayers punches it so sweetly off the back foot. It races away through extra cover ",1680359789721
7.2,"Axar to Mayers, , full ball on leg, Mayers gets down low and sweeps powerfully in the air. Another six! Wait, did Mitchell Marsh make an error there?  but instead he came in initially",1680359814987
8.3," Kuldeep Yadav to Mayers, , drifting in on leg, and Mayers is immediately down on one knee to unleash his slog-sweep! He clears deep backward square and brings up  after being dropped on 14 ",1680360219467
9.2," Axar to Mayers, , another slog-sweep, another six! They're struggling to contain him. Fired in on leg, Mayers gets low and makes superb contact to clear the big boundary at midwicket ",1680360395764
9.3," Axar to Mayers, , now goes down the ground, hasn't got hold of it as well as the previous one, but it's still six! Another one fired into the slot by Axar, and Mayers just about clears the straight boundary ",1680360440354
